COUNTY NAME,WSSN,System Name,"Sample
Site Code",Sample Date,Vista or Merit  Order Number,AECOM Sample ID,Method,Results Received by DEQ ,PFBS,PFHxA,PFHpA,PFHxS,PFOA,PFNA,PFOS,PFDA,MeFOSAA,EtFOSAA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFOA + PFOS,Calculated Total PFAS,,,,,,,,,,,,,,,,,,,,
ALLEGAN,00125,ALLEGAN COUNTY SERVICES CENTER,TP013,4/25/18,1800785-01,GW1804251400GSC,EPA 537,8/6/18,7,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,7,,,,,,,,,,,,,,,,,,,,
ALLEGAN,40003,ANDREWS MOBILE HOME PARK,CH001,4/30/18,1800848-01,GW1804301010GSC,EPA 537,8/3/18,6,ND,ND,4,6,ND,23,ND,ND,ND,ND,ND,ND,ND,29,39,,,,,,,,,,,,,,,,,,,,
ALLEGAN,2024303,HAMILTON ELEMENTARY SCHOOL,,6/7/18,1801232-01,GW1806071205KER,EPA 537,7/15/18,3,ND,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,6,,,,,,,,,,,,,,,,,,,,
ALLEGAN,03525,KALAMAZOO LAKE SEWER & WATER AUTHORITY,TP012,4/25/18,1800774-01,GW1804251045GSC,EPA 537,8/6/18,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
ALLEGAN,02925,LAKE DOSTER,TP023,4/24/18,1800752-01,GW1804241040GSC,EPA 537,8/3/18,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
ALLEGAN,04596,MYSTICVIEW04596WL001,WL001,7/9/18,1801701-01,GWNT1807090820KER,EPA 537,8/7/18,2,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,4,,,,,,,,,,,,,,,,,,,,
ALLEGAN,05060,OTSEGO,TP003,4/27/18,1800853-01,GW1804271135GSC,EPA 537,8/3/18,7,4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,11,,,,,,,,,,,,,,,,,,,,
ALLEGAN,05380,PLAINWELL,TP005,4/26/18,1800788-02,GW1804261155GSC,EPA 537,8/3/18,19,2,ND,10,6,ND,17,ND,ND,ND,ND,ND,ND,ND,23,54,,,,,,,,,,,,,,,,,,,,
ALLEGAN,40023,RIVERVIEW MOBILE HOME PARK,CH001,6/6/18,1801197-01,GW1806061505KER,EPA 537,7/13/18,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
ALLEGAN,40028,VILLAGE EAST ESTATES,CH001,4/30/18,1800851-01,GW1804301330GSC,EPA 537,8/3/18,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
ARENAC,2000206,Standish-Sterling Central Elementary,Well 1,11/1/18,S96341.01,GWNT1811011340KME,EPA 537,1/24/19,ND,3,ND,21,5,ND,ND,ND,ND,ND,ND,ND,ND,ND,5,29,,,,,,,,,,,,,,,,,,,,
BARRY,40046,GUERNSEY LAKE MOBILE HOME COMMUNITY,CH001,6/12/18,1801327-01,GWT1806121130GSC,EPA 537,7/27/18,3,ND,ND,5,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,8,,,,,,,,,,,,,,,,,,,,
BARRY,2021108,Hastings Head Start at Community Action,001,12/11/18,1804069-01,GWNT1812110905KME,EPA 537,12/31/18,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,2,,,,,,,,,,,,,,,,,,,,
BARRY,2021108,Hastings Head Start at Community Action,001-FD,12/11/18,1804069-02,GWNT1812110905KME-FD,EPA 537,12/31/18,ND,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
BARRY,04360,MIDDLEVILLE,TP001,4/26/18,1800786-01,GW1804260915GSC,EPA 537,8/6/18,3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3,,,,,,,,,,,,,,,,,,,,
BRANCH,40070,COUNTRYSIDE MOBILE COURT,CH001,10/1/18,S95229.01,GWNT1810011500GGA,EPA 537,11/5/18,6,3,ND,4,6,ND,14,ND,ND,ND,ND,ND,ND,ND,20,33,,,,,,,,,,,,,,,,,,,,
BRANCH,40069,GRAND VILLAGE MOBILE HOME PARK,CH001,8/28/18,1802823-01,GWNT1808281240CKA,EPA 537,10/17/18,6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,6,,,,,,,,,,,,,,,,,,,,
