County,Public Water Supply,Population Served,Sampling Date,Sample Number,Raw Water or Treated Drinking Water?,PFOA + PFOS (ppt),Total Tested PFAS (ppt),Method
KALAMAZOO,Portage,46292,06/14/2018,GWEF1806141205GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Portage,46292,06/14/2018,GWEF1806141145GSC,Treated Drinking Water,ND,2,EPA 537 Rev. 1.1
KALAMAZOO,Portage,46292,06/14/2018,GWEF1806141315GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Portage,46292,06/14/2018,GWEF1806141115GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Portage,46292,06/14/2018,GWEF1806140930GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Portage,46292,06/14/2018,GWEF1806141025GSC,Treated Drinking Water,ND,13,EPA 537 Rev. 1.1
KALAMAZOO,Portage,46292,06/14/2018,GWEF1806141235GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Portage,46292,06/14/2018,GWEF1806141045GSC,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KENT,Spring Valley Mobile Home Park,172,04/17/2018,GW1804171515CKA,Raw Water,23,43,EPA 537 Rev. 1.1
KENT,Whispering Pines,125,05/30/2018,GW1805301435EDK,Raw Water,6,64,EPA 537 Rev. 1.1
OAKLAND,Independence Township,11790,06/04/2018,GW1806041115EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Independence Township,11790,06/04/2018,GW1806041010EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Independence Township,11790,06/04/2018,GW1806040920EDK,Treated Drinking Water,ND,10,EPA 537 Rev. 1.1
OAKLAND,Independence Township,11790,06/04/2018,GW1806040940EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Independence Township,11790,06/04/2018,GW1806041140EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Independence Township,11790,06/04/2018,GW1806041050EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Kalamazoo,196292,06/15/2018,GWEF1806151215KER,Treated Drinking Water,19,72,EPA 537 Rev. 1.1
OAKLAND,South Bloomfield Highlands,621,06/14/2018,GW1806140950EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,South Bloomfield Highlands,621,06/14/2018,GW1806141005EDK,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Kalamazoo,196292,06/15/2018,GWEF1806151425KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Southwest Oakland Township,6128,06/11/2018,GW1806111210EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Southeast Oakland Township,2298,06/11/2018,GW1806111005EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Kalamazoo,196292,06/15/2018,GWEF1806151145KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Kalamazoo,196292,06/15/2018,GWEF1806151230KER,Treated Drinking Water,18,69,EPA 537 Rev. 1.1
KALAMAZOO,Kalamazoo,196292,06/15/2018,GWEF1806151050KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Kalamazoo,196292,06/15/2018,GWEF1806151355KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Kalamazoo,196292,06/15/2018,GWEF1806151540KER,Treated Drinking Water,ND,ND,EPA 537 Rev. 1.1
OAKLAND,Southeast Oakland Township,2298,06/11/2018,GW1806111050EDK,Raw Water,ND,ND,EPA 537 Rev. 1.1
KALAMAZOO,Kalamazoo,196292,06/15/2018,GWEF1806151525KER,Treated Drinking Water,ND,3,EPA 537 Rev. 1.1
