County,Public Water Supply,Population Served,Quarter Sample Was Taken,Sampling Date,Sample Number,Raw Water or Treated Drinking Water?,PFOA + PFOS (ppt),Total Tested PFAS (ppt),Method
Allegan,Andrews Mobile Home Park,90,Q1,03/25/2019,GWNT1903251220KER,Raw Water,40,50,EPA 537
Branch,Countryside Mobile Home Park,60,Q1,03/26/2019,GWNT1903261100KER,Raw Water,21,43,EPA 537
Newaygo,Hesperia,954,Q2,06/20/2019,GWNT1906201050MK,Raw Water,ND,31,EPA 537
Washtenaw,Emerson School - Elementary,450,Q2,06/19/2019,GWEF1906190950RL,Treated Drinking Water,ND,31,EPA 537
Ionia,Evergreen Mobile Home Community,272,Q2,06/19/2019,GWEF1906191450MK,Treated Drinking Water,ND,17,EPA 537
Charlevoix,Walloon Lake Water System,579,Q1,04/03/2019,GWEF1904031700GGA,Treated Drinking Water,ND,10,EPA 537
Oceana,Walkerville Elementary School,300,Q1,05/14/2019,GWNT1905141000GGA,Treated Drinking Water,6,16,EPA 537
Ionia,Evergreen Mobile Home Community,272,Q1,03/28/2019,GWEF1903280910KER,Treated Drinking Water,ND,13,EPA 537
Ionia,Long Lake Mobile Home Estates,68,Q1,03/28/2019,GWNT1903281000KER,Raw Water,4,10,EPA 537
Ionia,Long Lake Mobile Home Estates,68,Q1,03/28/2019,GWNT1903281010KER,Raw Water,4,10,EPA 537
Iosco,Whispering Woods-White Pine Ridge Oscod,33,Q1,04/04/2019,GWNT1904041015GGA,Raw Water,3,25,EPA 537
Kent,Spring Valley Mobile Home Park,172,Q1,03/25/2019,GWNT1903250830KER,Raw Water,7,16,EPA 537
Kent,Spring Valley Mobile Home Park,172,Q1,03/25/2019,GWNT1903250810KER,Raw Water,19,36,EPA 537
Kent,Whispering Pines,125,Q1,03/28/2019,GWNT1903281200KER,Raw Water,ND,14,EPA 537
Macomb,Main Street Apartments,48,Q1,04/03/2019,GWNT1904031510KER,Raw Water,3,6,EPA 537
Muskegon,Arlington Woods,1650,Q2,06/20/2019,GWNT1906200835MK,Raw Water,10,18,EPA 537
Kalamazoo,"Kalamazoo, City of",196292,Q2,06/19/2019,GWEF1906191030MK,Treated Drinking Water,6,31,EPA 537
Ottawa,Crockery Village Mobile Home Park,413,Q1,03/27/2019,GWNT1903271115KER,Raw Water,ND,10,EPA 537
Arenac,Standish-Sterling Central Elementary,800,Q1,04/04/2019,GWIN1904041430GGA,Treated Drinking Water,6,30,EPA 537
Arenac,Standish-Sterling Central Elementary,800,Q1,04/04/2019,GWIN1904041445GGA,Treated Drinking Water,ND,ND,EPA 537
Calhoun,Calhoun Interm. School Dist.,70,Q1,03/26/2019,GWEF1903261300KER,Treated Drinking Water,ND,ND,EPA 537
Charlevoix,Boyne Falls Public School,175,Q1,04/02/2019,GWNT1904021400GGA,Raw Water,ND,ND,EPA 537
